participant,video,frame_rate
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Anger_0_1310,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Anger_15_1260,29.90566037735849
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Anger_8_0971,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Disgust_1_0235,29.625
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Disgust_4_0929,30.060606060606062
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Disgust_5_1044,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Fear_0_1375,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Fear_4_1964,29.945054945054945
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Fear_5_0137,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Joy_1_1032,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Joy_2_1034,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Joy_3_2034,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Sadness_13_0673,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Sadness_2_1259,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Sadness_9_1164,29.875
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Surprise_10_1234,30.12399708242159
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Surprise_2_1277,29.901960784313726
1c069c5e-82f5-46a0-80eb-b9daa63bd3b2,Surprise_9_1899,30.08130081300813
1e36f30d-bb71-4167-9b41-b34a2515aa9e,Anger_13_1026,30.243902439024392
1e36f30d-bb71-4167-9b41-b34a2515aa9e,Anger_15_1260,30.18867924528302
1e36f30d-bb71-4167-9b41-b34a2515aa9e,Disgust_0_0187,30.125
1e36f30d-bb71-4167-9b41-b34a2515aa9e,Sadness_0_1959,30.240174672489083
1e36f30d-bb71-4167-9b41-b34a2515aa9e,Sadness_2_1259,30.25
1e886a54-6e2e-436c-82d3-6dd705a09613,Anger_0_1310,30.0
1e886a54-6e2e-436c-82d3-6dd705a09613,Anger_12_0595,30.11049723756906
1e886a54-6e2e-436c-82d3-6dd705a09613,Anger_15_1260,30.09433962264151
1e886a54-6e2e-436c-82d3-6dd705a09613,Disgust_11_1940,30.136986301369863
1e886a54-6e2e-436c-82d3-6dd705a09613,Disgust_1_0235,30.125
1e886a54-6e2e-436c-82d3-6dd705a09613,Disgust_5_1044,30.125
1e886a54-6e2e-436c-82d3-6dd705a09613,Fear_3_0025,29.25
1e886a54-6e2e-436c-82d3-6dd705a09613,Fear_6_0687,30.07075471698113
1e886a54-6e2e-436c-82d3-6dd705a09613,Fear_9_1172,30.11111111111111
1e886a54-6e2e-436c-82d3-6dd705a09613,Joy_1_1032,30.125
1e886a54-6e2e-436c-82d3-6dd705a09613,Joy_3_2034,30.125
1e886a54-6e2e-436c-82d3-6dd705a09613,Joy_4_1938,30.125
1e886a54-6e2e-436c-82d3-6dd705a09613,Sadness_12_1587,30.07246376811594
1e886a54-6e2e-436c-82d3-6dd705a09613,Sadness_13_0673,30.125
1e886a54-6e2e-436c-82d3-6dd705a09613,Sadness_2_1259,30.0
1e886a54-6e2e-436c-82d3-6dd705a09613,Surprise_0_0509,30.12345679012346
1e886a54-6e2e-436c-82d3-6dd705a09613,Surprise_3_1433,30.190058479532166
1e886a54-6e2e-436c-82d3-6dd705a09613,Surprise_6_0602,30.125
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Anger_0_1310,14.375
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Anger_1_0218,14.375
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Anger_7_0414,14.635761589403973
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Disgust_0_0187,14.375
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Disgust_11_1940,14.452054794520548
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Disgust_5_1044,14.5
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Fear_1_1422,14.624724061810156
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Fear_4_1964,14.505494505494505
